date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:00	5315/5315	---M--	200	added ('OK')	image/png	etag:%2214c3-530bda7a8fc3c%22	http://new.uouapps.com/globo-html/img/content/partner1.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/partner1.png	(from http://new.uouapps.com/globo-html/)
18:25:00	5189/5189	---M--	200	added ('OK')	image/png	etag:%221445-530bda7a90fae%22	http://new.uouapps.com/globo-html/img/content/partner2.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/partner2.png	(from http://new.uouapps.com/globo-html/)
18:25:00	4483/4483	---M--	200	added ('OK')	image/png	etag:%221183-530bda7a92717%22	http://new.uouapps.com/globo-html/img/content/partner3.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/partner3.png	(from http://new.uouapps.com/globo-html/)
18:25:01	5360/5360	---M--	200	added ('OK')	image/png	etag:%2214f0-530bda7a936c8%22	http://new.uouapps.com/globo-html/img/content/partner4.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/partner4.png	(from http://new.uouapps.com/globo-html/)
18:25:01	4939/4939	---M--	200	added ('OK')	image/png	etag:%22134b-530bda7a94e1a%22	http://new.uouapps.com/globo-html/img/content/partner5.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/partner5.png	(from http://new.uouapps.com/globo-html/)
18:25:01	4756/4756	---M--	200	added ('OK')	image/png	etag:%221294-530bda7a961a7%22	http://new.uouapps.com/globo-html/img/content/partner6.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/partner6.png	(from http://new.uouapps.com/globo-html/)
18:25:01	5508/5508	---M--	200	added ('OK')	image/png	etag:%221584-530bda7ac24b0%22	http://new.uouapps.com/globo-html/img/footer_logo.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/footer_logo.png	(from http://new.uouapps.com/globo-html/)
18:25:02	1567/1567	---M--	200	added ('OK')	image/jpeg	etag:%2261f-530bda7a7f65a%22	http://new.uouapps.com/globo-html/img/content/latest_post_1.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/latest_post_1.jpg	(from http://new.uouapps.com/globo-html/)
18:25:02	3370/3370	---M--	200	added ('OK')	image/jpeg	etag:%22d2a-530bda7a811c8%22	http://new.uouapps.com/globo-html/img/content/latest_post_2.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/latest_post_2.jpg	(from http://new.uouapps.com/globo-html/)
18:25:04	969/969	---M-Z	200	added ('OK')	application/javascript	etag:%223c9-530bda7ad8c30-gzip%22	http://new.uouapps.com/globo-html/js/jquery.ba-outside-events.min.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/jquery.ba-outside-events.min.js	(from http://new.uouapps.com/globo-html/)
18:25:06	10786/10786	---M-Z	200	added ('OK')	application/javascript	etag:%222a22-530bda7ad5d57-gzip%22	http://new.uouapps.com/globo-html/js/gomap.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/gomap.js	(from http://new.uouapps.com/globo-html/)
18:25:08	91641/91641	---M-Z	200	added ('OK')	application/javascript	etag:%22165f9-530bda7af5544-gzip%22	http://new.uouapps.com/globo-html/js/masterslider/masterslider.min.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/masterslider.min.js	(from http://new.uouapps.com/globo-html/)
18:25:08	70994/70994	---M-Z	200	added ('OK')	application/javascript	etag:%2211552-530bda7ad49ce-gzip%22	http://new.uouapps.com/globo-html/js/gmaps.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/gmaps.js	(from http://new.uouapps.com/globo-html/)
18:25:09	31819/31819	---M-Z	200	added ('OK')	application/javascript	etag:%227c4b-530bda7ad1eb7-gzip%22	http://new.uouapps.com/globo-html/js/bootstrap.min.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/bootstrap.min.js	(from http://new.uouapps.com/globo-html/)
18:25:10	52797/52797	---M-Z	200	added ('OK')	application/javascript	etag:%22ce3d-530bda7b5c1a2-gzip%22	http://new.uouapps.com/globo-html/js/owl.carousel.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/owl.carousel.js	(from http://new.uouapps.com/globo-html/)
18:25:10	12962/12962	---M-Z	200	added ('OK')	application/javascript	etag:%2232a2-530bda7b5d529-gzip%22	http://new.uouapps.com/globo-html/js/scripts.js	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/scripts.js	(from http://new.uouapps.com/globo-html/)
18:25:12	84245/84245	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Users/dinesh%20agrawal/Desktop/yellow/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from http://new.uouapps.com/globo-html/)
18:25:19	464435/464435	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-71633%22	http://code.jquery.com/ui/1.11.1/jquery-ui.js	C:/Users/dinesh%20agrawal/Desktop/yellow/code.jquery.com/ui/1.11.1/jquery-ui.js	(from http://new.uouapps.com/globo-html/)
18:25:20	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-530bda7a356c1%22	http://new.uouapps.com/globo-html/fonts/fontawesome-webfont.eot?v=4.2.0	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/fonts/fontawesome-webfont78ce.eot	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:20	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-530bda7a356c1%22	http://new.uouapps.com/globo-html/fonts/fontawesome-webfont.eot?	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/fonts/fontawesome-webfontd41d.eot	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:21	65452/65452	---M--	200	added ('OK')	application/x-font-woff	etag:%22ffac-530bda7a3d7cc%22	http://new.uouapps.com/globo-html/fonts/fontawesome-webfont.woff?v=4.2.0	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/fonts/fontawesome-webfont78ce.woff	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:23	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%224611f-530bda7a381d7%22	http://new.uouapps.com/globo-html/fonts/fontawesome-webfont.svg?v=4.2.0	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/fonts/fontawesome-webfont78ce.svg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:23	409/409	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202020%2012:55:22%20GMT	http://new.uouapps.com/globo-html/css/grabbing.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/css/grabbing.36.delayed	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:25	411/411	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202020%2012:55:24%20GMT	http://new.uouapps.com/globo-html/css/AjaxLoader.gif	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/css/AjaxLoader.gif	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:30	27138/27138	---M--	200	added ('OK')	image/jpeg	etag:%226a02-530bda7a69ebb%22	http://new.uouapps.com/globo-html/img/content/calssifieds_bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/calssifieds_bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:35	112160/112160	---M--	200	added ('OK')	application/x-font-ttf	etag:%221b620-530bda7a3c059%22	http://new.uouapps.com/globo-html/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/fonts/fontawesome-webfont78ce.ttf	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:40	58883/58883	---M--	200	added ('OK')	image/jpeg	etag:%22e603-530bda7a5915b%22	http://new.uouapps.com/globo-html/img/content/about-us-heading-bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/about-us-heading-bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:44	123936/123936	---M--	200	added ('OK')	image/jpeg	etag:%221e420-530bda7a78519%22	http://new.uouapps.com/globo-html/img/content/feature-bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/feature-bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:49	87893/87893	---M--	200	added ('OK')	image/jpeg	etag:%2215755-530bda7a765d9%22	http://new.uouapps.com/globo-html/img/content/contact-us-heading-bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/contact-us-heading-bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:50	153008/153008	---M--	200	added ('OK')	image/jpeg	etag:%22255b0-530bda7ab423c%22	http://new.uouapps.com/globo-html/img/content/register_bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/register_bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:52	5423/5423	---M--	200	added ('OK')	image/jpeg	etag:%22152f-530bda7a794c1%22	http://new.uouapps.com/globo-html/img/content/footer_logo_bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/footer_logo_bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:25:52	2707/2707	---M--	200	added ('OK')	image/gif	etag:%22a93-530bda7b52d54%22	http://new.uouapps.com/globo-html/js/masterslider/style/loading-2.gif	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/style/loading-2.gif	(from http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css)
18:25:53	2893/2893	---M--	200	added ('OK')	image/png	etag:%22b4d-530bda7b46a03%22	http://new.uouapps.com/globo-html/js/masterslider/style/grab.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/style/grab.png	(from http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css)
18:25:54	2868/2868	---M--	200	added ('OK')	image/png	etag:%22b34-530bda7b4b033%22	http://new.uouapps.com/globo-html/js/masterslider/style/grabbing.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/style/grabbing.png	(from http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css)
18:25:54	436/436	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202020%2012:55:55%20GMT	http://new.uouapps.com/globo-html/js/masterslider/masterslider/style/grab.cur	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/masterslider/style/grab.cur	(from http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css)
18:25:55	440/440	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202020%2012:55:56%20GMT	http://new.uouapps.com/globo-html/js/masterslider/masterslider/style/grabbing.cur	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/masterslider/style/grabbing.cur	(from http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css)
18:25:55	219/219	---M--	200	added ('OK')	image/png	etag:%22db-530bda7b5507b%22	http://new.uouapps.com/globo-html/js/masterslider/style/video-close-btn.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/style/video-close-btn.png	(from http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css)
18:25:56	1116/1116	---M--	200	added ('OK')	image/png	etag:%2245c-530bda7b085f2%22	http://new.uouapps.com/globo-html/js/masterslider/skins/black-2/black-skin-2.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/skins/black-2/black-skin-2.png	(from http://new.uouapps.com/globo-html/js/masterslider/skins/black-2/style.css)
18:25:57	2237/2237	---M--	200	added ('OK')	image/png	etag:%228bd-530bda7b06a79%22	http://new.uouapps.com/globo-html/js/masterslider/skins/black-2/black-skin-2-retina.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/skins/black-2/black-skin-2-retina.png	(from http://new.uouapps.com/globo-html/js/masterslider/skins/black-2/style.css)
18:25:57	87034/87034	---M--	200	added ('OK')	image/jpeg	etag:%22153fa-530bda7a5eb0d%22	http://new.uouapps.com/globo-html/img/content/blog-list-heading-bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/blog-list-heading-bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:26:00	12814/12814	---M--	200	added ('OK')	image/jpeg	etag:%22320e-530bda7aaf814%22	http://new.uouapps.com/globo-html/img/content/post-img-9.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-9.jpg	(from http://new.uouapps.com/globo-html/home-map-grid.html)
18:26:00	17256/17256	---M--	200	added ('OK')	image/jpeg	etag:%224368-530bda7a9f246%22	http://new.uouapps.com/globo-html/img/content/post-img-10.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-10.jpg	(from http://new.uouapps.com/globo-html/home-map-grid.html)
18:26:01	5370/5370	---M--	200	added ('OK')	image/jpeg	etag:%2214fa-530bda7aa117b%22	http://new.uouapps.com/globo-html/img/content/post-img-11.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-11.jpg	(from http://new.uouapps.com/globo-html/home-map-grid.html)
18:26:03	11110/11110	---M--	200	added ('OK')	image/jpeg	etag:%222b66-530bda7aa250e%22	http://new.uouapps.com/globo-html/img/content/post-img-12.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/post-img-12.jpg	(from http://new.uouapps.com/globo-html/home-map-grid.html)
18:26:04	164118/164118	---M--	200	added ('OK')	image/jpeg	etag:%2228116-530bda7ab1f15%22	http://new.uouapps.com/globo-html/img/content/price-listing-heading-bg.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/price-listing-heading-bg.jpg	(from http://new.uouapps.com/globo-html/css/style.css)
18:26:05	3065/3065	---M--	200	added ('OK')	image/jpeg	etag:%22bf9-530bda7a717e9%22	http://new.uouapps.com/globo-html/img/content/company-logo.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/company-logo.jpg	(from http://new.uouapps.com/globo-html/company-profile.html)
18:26:06	2132/2132	---M--	200	added ('OK')	image/jpeg	etag:%22854-530bda7a6cd80%22	http://new.uouapps.com/globo-html/img/content/comment-image-1.jpg	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/content/comment-image-1.jpg	(from http://new.uouapps.com/globo-html/company-profile.html)
